Dấu thời gian,"1. Bạn hiện đang thuộc nhóm đối tượng nào?
(Chọn một)","2. Lĩnh vực nghiên cứu/chuyên môn chính của bạn là gì?
(Câu trả lời ngắn)","3. Kinh nghiệm nghiên cứu của bạn?
(Chọn một)","4. Bạn thường tìm kiếm paper phục vụ mục đích nào?
(Có thể chọn nhiều)",5. Trung bình mỗi tuần bạn dành bao nhiêu thời gian để tìm kiếm và đọc paper? ,"6. Hiện tại bạn thường sử dụng công cụ nào để tìm paper?
(Có thể chọn nhiều)",7. Những khó khăn lớn  của bạn khi tìm kiếm paper là gì?,8. Bạn thường mất bao lâu để đánh giá nhanh một paper có phù hợp với mình hay không?,"9. Khi đọc một paper mới, phần nào khiến bạn mất nhiều thời gian nhất?",10. Bạn đánh giá mức độ hữu ích của tính năng AI tự động tóm tắt paper? 
7/30/2026 10:40:33,Học viên cao học,IT và LLM,Dưới 1 năm,Làm bài tập/đồ án,2–5 giờ,"Google Scholar, arXiv, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó hiểu nhanh nội dung paper dài, Khó tìm mối liên hệ giữa các công trình nghiên cứu, Khó quản lý số lượng lớn tài liệu",10-30 phút,Đọc công thức/ thuật toán,Hữu ích
7/30/2026 10:46:45,Sinh viên đại học,Kinh tế,Dưới 1 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học, Làm khóa luận/luận văn, Theo dõi xu hướng trong lĩnh vực",2–5 giờ,"Google Scholar, IEEE Xplore, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó hiểu nhanh nội dung paper dài, Khó tìm mối liên hệ giữa các công trình nghiên cứu, Khó xác định khoảng trống nghiên cứu (research gap), Khó lựa chọn hội nghị/ tạp chí phù hợp",10-30 phút,Hiểu phương pháp đề xuất,Hữu ích
7/30/2026 10:47:36,Sinh viên đại học,CV,Chưa có kinh nghiệm nghiên cứu,"Làm bài tập/đồ án, Theo dõi xu hướng trong lĩnh vực",2–5 giờ,"Google Scholar, arXiv, IEEE Xplore, ACM Digital Library, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó tìm paper mới nhất trong lĩnh vực, Khó hiểu nhanh nội dung paper dài, Khó tìm mối liên hệ giữa các công trình nghiên cứu",10-30 phút,Hiểu phương pháp đề xuất,Hữu ích
7/30/2026 11:16:17,Sinh viên đại học,"Mình học AI, hiện đang nghiên cứu về nlp domain Luật",1–3 năm,"Viết báo cáo khoa học, Làm khóa luận/luận văn, Tìm hướng nghiên cứu mới, Theo dõi xu hướng trong lĩnh vực, Chuẩn bị bài báo để gửi hội nghị/tạp chí",5–10 giờ,"Google Scholar, arXiv, Scopus/Web of Science","Có quá nhiều paper, khó chọn bài phù hợp, Khó tìm paper mới nhất trong lĩnh vực, Khó hiểu nhanh nội dung paper dài, Khó tìm mối liên hệ giữa các công trình nghiên cứu",Dưới 10 phút,Hiểu phương pháp đề xuất,Hữu ích
7/30/2026 11:32:45,Sinh viên đại học,Điện tử viễn thông,Dưới 1 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học, Làm khóa luận/luận văn",2–5 giờ,Google Scholar,"Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao",30 phút - 1 giờ,Hiểu phương pháp đề xuất,Rất hữu ích
7/30/2026 11:36:28,Sinh viên đại học,AI Engineer,Dưới 1 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học, Tìm hướng nghiên cứu mới, Theo dõi xu hướng trong lĩnh vực",Dưới 2 giờ,"Google Scholar, ResearchGate, arXiv, IEEE Xplore, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó tìm paper mới nhất trong lĩnh vực, Khó xác định khoảng trống nghiên cứu (research gap), Khó lựa chọn hội nghị/ tạp chí phù hợp",Dưới 10 phút,Đọc công thức/ thuật toán,Hữu ích
7/30/2026 11:45:23,Sinh viên đại học,Giáo dục tiểu học,1–3 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học, Làm khóa luận/luận văn, Tìm hướng nghiên cứu mới, Theo dõi xu hướng trong lĩnh vực, Chuẩn bị bài báo để gửi hội nghị/tạp chí",5–10 giờ,"Google Scholar, Semantic Scholar, ResearchGate, arXiv, IEEE Xplore, ACM Digital Library, Scopus/Web of Science, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó tìm paper mới nhất trong lĩnh vực, Khó hiểu nhanh nội dung paper dài, Khó tìm mối liên hệ giữa các công trình nghiên cứu, Khó xác định khoảng trống nghiên cứu (research gap), Khó lựa chọn hội nghị/ tạp chí phù hợp",10-30 phút,So sánh với các phương pháp trước đó,Bình thường
7/30/2026 11:50:19,Sinh viên đại học,it,1–3 năm,"Viết báo cáo khoa học, Tìm hướng nghiên cứu mới, Theo dõi xu hướng trong lĩnh vực, Chuẩn bị bài báo để gửi hội nghị/tạp chí",2–5 giờ,"Google Scholar, arXiv, IEEE Xplore, ACM Digital Library, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó tìm paper mới nhất trong lĩnh vực, Khó xác định khoảng trống nghiên cứu (research gap)",Dưới 10 phút,Hiểu phương pháp đề xuất,Rất không cần thiết
7/30/2026 11:59:36,Sinh viên đại học,AI,Dưới 1 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học",Dưới 2 giờ,"arXiv, IEEE Xplore, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao",Dưới 10 phút,Đọc công thức/ thuật toán,Rất hữu ích
7/30/2026 12:00:27,Nhà nghiên cứu,CNTT,Dưới 1 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học, Làm khóa luận/luận văn, Tìm hướng nghiên cứu mới, Theo dõi xu hướng trong lĩnh vực, Chuẩn bị bài báo để gửi hội nghị/tạp chí",5–10 giờ,"Google Scholar, Semantic Scholar, ResearchGate, arXiv, IEEE Xplore, ACM Digital Library, Scopus/Web of Science, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó tìm paper mới nhất trong lĩnh vực, Khó hiểu nhanh nội dung paper dài, Khó tìm mối liên hệ giữa các công trình nghiên cứu, Khó xác định khoảng trống nghiên cứu (research gap), Khó lựa chọn hội nghị/ tạp chí phù hợp, Khó quản lý số lượng lớn tài liệu",30 phút - 1 giờ,Hiểu phương pháp đề xuất,Rất không cần thiết
